"","time","Target.x","Target.y","Target.z"
"722",2414,1,91,1
"723",2415,1,91,1
"724",2416,1,91,1
"725",2417,1,91,92
"726",2418,1,91,92
"727",2419,1,91,92
"728",2420,1,91,92
"729",2421,1,91,92
"730",2422,1,91,92
"731",2423,1,91,92
"732",2424,1,91,92
"733",2425,1,91,92
"734",2426,1,91,92
"735",2427,1,91,92
"736",2428,1,91,92
"737",2429,1,91,1
"738",2430,1,91,1
"739",2431,1,91,1
"740",2432,1,91,1
"741",2433,1,91,1
"742",2434,1,91,1
"743",2435,1,91,1
"744",2436,1,91,1
"745",2437,1,91,1
"746",2438,1,91,1
"747",2439,1,91,1
"748",2440,1,91,1
"749",2441,1,91,1
"750",2442,1,91,1
"751",2443,1,91,1
"752",2444,1,91,1
"753",2445,1,91,1
"754",2446,1,91,1
"755",2447,1,91,1
"756",2448,1,91,1
"757",2449,1,91,1
"758",2450,1,91,1
"759",2451,1,91,1
"760",2452,1,91,1
"761",2453,1,91,1
"762",2454,1,91,1
"763",2455,1,91,1
"764",2456,1,91,1
"765",2457,1,91,1
"766",2458,1,91,1
"767",2459,1,91,1
"768",2460,1,91,1
"769",2461,1,91,1
"770",2462,1,91,1
"771",2463,1,91,1
"772",2464,1,91,1
"773",2465,1,91,1
"774",2466,1,91,1
"775",2467,1,91,1
"776",2468,1,91,1
"777",2469,1,91,1
"778",2470,1,91,1
"779",2471,1,91,1
"780",2472,3,91,1
"781",2473,3,91,1
"782",2474,3,91,1
"783",2475,3,91,1
"784",2476,3,91,1
"785",2477,3,91,1
"786",2478,3,91,1
"787",2479,3,91,3
"788",2480,3,91,3
"789",2481,3,91,3
"790",2482,3,91,3
"791",2483,3,91,3
"792",2484,1,91,3
"793",2485,1,91,3
"794",2486,1,91,3
"795",2487,1,91,3
"796",2488,1,91,3
"797",2489,1,91,3
"798",2490,1,91,3
"799",2491,1,91,3
"800",2492,1,91,3
"801",2493,1,91,3
"802",2494,1,91,3
"803",2495,1,91,3
"804",2496,1,91,3
"805",2497,1,91,3
"806",2498,1,91,3
"807",2499,1,91,3
"808",2500,1,91,3
"809",2501,1,91,3
"810",2502,1,91,3
"811",2503,1,91,3
"812",2504,1,91,3
"813",2505,1,91,3
"814",2506,1,91,3
"815",2507,3,91,3
"816",2508,3,91,3
"817",2509,3,1,3
"818",2510,3,1,3
"819",2511,3,1,3
"820",2512,1,1,3
"821",2513,1,1,3
"822",2514,1,1,3
"823",2515,1,1,3
"824",2516,1,1,3
"825",2517,1,1,3
"826",2518,1,1,3
"827",2519,1,1,1
"828",2520,1,1,1
"829",2521,1,1,1
"830",2522,1,1,1
"831",2523,1,1,1
"832",2524,1,1,1
"833",2525,1,1,1
"834",2526,1,1,1
"835",2527,1,1,1
"836",2528,1,1,3
"837",2529,1,1,3
"838",2530,1,1,3
"839",2531,3,1,3
"840",2532,3,1,3
"841",2533,3,1,3
"842",2534,3,1,3
"843",2535,3,1,3
"844",2536,3,1,3
"845",2537,3,1,3
"846",2538,3,1,3
"847",2539,3,1,3
"848",2540,3,1,3
"849",2541,3,1,3
"850",2542,3,1,3
"851",2543,3,1,3
"852",2544,3,1,3
"853",2545,3,1,3
"854",2546,3,1,3
"855",2547,3,1,3
"856",2548,3,1,1
"857",2549,10,1,1
"858",2550,10,1,1
"859",2551,10,1,1
"860",2552,10,1,1
"861",2553,10,1,1
"862",2554,10,1,1
"863",2555,10,1,3
"864",2556,10,1,3
"865",2557,10,1,3
"866",2558,10,1,3
"867",2559,2,1,3
"868",2560,2,1,3
"869",2561,2,1,3
"870",2562,2,1,3
"871",2563,2,1,3
"872",2564,2,1,3
"873",2565,2,1,1
"874",2566,2,1,1
"875",2567,2,1,1
"876",2568,2,1,1
"877",2569,2,1,1
"878",2570,2,1,1
"879",2571,2,3,1
"880",2572,2,3,1
"881",2573,2,3,1
"882",2574,2,3,1
"883",2575,2,3,1
"884",2576,2,3,1
"885",2577,1,3,1
"886",2578,1,3,3
"887",2579,1,3,3
"888",2580,1,3,3
"889",2581,2,3,3
"890",2582,2,3,3
"891",2583,2,3,3
"892",2584,2,3,3
"893",2585,2,3,3
"894",2586,2,3,3
"895",2587,11,3,3
"896",2588,11,3,1
"897",2589,11,3,1
"898",2590,11,3,1
"899",2591,11,3,1
"900",2592,11,3,1
"901",2593,11,3,1
"902",2594,11,3,1
"903",2595,11,3,3
"904",2596,11,3,3
"905",2597,11,3,3
"906",2598,11,7,3
"907",2599,11,7,3
"908",2600,11,7,3
"909",2601,11,7,3
"910",2602,11,7,3
"911",2603,1,7,3
"912",2604,1,7,3
"913",2605,1,7,3
"914",2606,1,7,3
"915",2607,1,7,3
"916",2608,1,7,3
"917",2609,1,7,3
"918",2610,1,7,19
"919",2611,1,3,19
"920",2612,1,3,19
"921",2613,1,3,19
"922",2614,1,3,19
"923",2615,1,3,19
"924",2616,1,3,19
"925",2617,1,3,19
"926",2618,1,3,19
"927",2619,3,3,19
"928",2620,3,3,2
"929",2621,3,3,2
"930",2622,3,3,2
"931",2623,3,3,2
"932",2624,1,3,2
"933",2625,1,3,2
"934",2626,1,3,2
"935",2627,1,3,2
"936",2628,1,1,2
"937",2629,1,1,2
"938",2630,1,1,2
"939",2631,1,1,2
"940",2632,1,1,2
"941",2633,1,1,2
"942",2634,10,1,2
"943",2635,10,1,2
"944",2636,10,1,2
"945",2637,10,1,2
"946",2638,10,1,2
"947",2639,10,1,2
"948",2640,10,1,2
"949",2641,10,1,2
"950",2642,10,1,19
"951",2643,10,1,19
"952",2644,10,1,19
"953",2645,10,1,19
"954",2646,10,1,19
"955",2647,10,1,19
"956",2648,10,1,19
"957",2649,3,1,19
"958",2650,3,1,3
"959",2651,3,1,3
"960",2652,3,1,3
"961",2653,3,1,3
"962",2654,3,1,3
"963",2655,3,1,3
"964",2656,3,1,3
"965",2657,3,1,3
"966",2658,3,1,3
"967",2659,3,1,3
"968",2660,3,1,3
"969",2661,3,1,3
"970",2662,3,1,3
"971",2663,3,1,3
"972",2664,3,1,3
"973",2665,3,1,3
"974",2666,3,1,3
"975",2667,3,1,3
"976",2668,3,1,3
"977",2669,3,1,3
"978",2670,3,1,3
"979",2671,3,1,3
"980",2672,3,1,3
"981",2673,3,1,3
"982",2674,3,1,3
"983",2675,3,1,3
"984",2676,3,1,3
"985",2677,1,1,3
"986",2678,1,1,3
"987",2679,1,1,3
"988",2680,1,1,1
"989",2681,1,1,1
"990",2682,1,1,1
"991",2683,1,1,1
"992",2684,1,1,1
"993",2685,1,1,3
"994",2686,1,1,3
"995",2687,1,1,3
"996",2688,1,1,3
"997",2689,1,1,3
"998",2690,1,1,3
"999",2691,1,1,3
"1000",2692,1,1,3
"1001",2693,1,1,3
"1002",2694,1,1,3
"1003",2695,1,1,3
"1004",2696,1,1,3
"1005",2697,1,1,3
"1006",2698,1,1,3
"1007",2699,1,1,3
"1008",2700,1,1,3
"1009",2701,1,1,3
"1010",2702,1,1,1
"1011",2703,1,1,1
"1012",2704,1,1,1
"1013",2705,1,1,1
"1014",2706,1,1,1
"1015",2707,1,1,3
"1016",2708,1,1,3
"1017",2709,1,1,3
"1018",2710,1,1,3
"1019",2711,1,1,3
"1020",2712,1,1,3
"1021",2713,1,1,3
"1022",2714,1,1,3
"1023",2715,1,1,23
"1024",2716,1,1,23
"1025",2717,1,1,23
"1026",2718,1,1,23
"1027",2719,1,1,23
"1028",2720,1,1,23
"1029",2721,1,1,23
"1030",2722,1,1,3
"1031",2723,1,1,3
"1032",2724,1,1,3
"1033",2725,1,1,3
"1034",2726,1,1,3
"1035",2727,1,1,3
"1036",2728,1,1,3
"1037",2729,1,1,3
"1038",2730,1,1,3
"1039",2731,1,1,3
"1040",2732,1,1,3
"1041",2733,1,1,3
"1042",2734,1,1,3
"1043",2735,1,1,3
"1044",2736,1,1,3
"1045",2737,1,1,3
"1046",2738,1,1,3
"1047",2739,1,1,3
"1048",2740,1,1,1
"1049",2741,1,1,1
"1050",2742,1,1,1
"1051",2743,1,1,1
"1052",2744,1,1,1
"1053",2745,1,1,1
"1054",2746,1,1,1
"1055",2747,1,1,1
"1056",2748,1,1,1
"1057",2749,1,1,1
"1058",2750,1,1,1
"1059",2751,1,1,1
"1060",2752,1,1,1
"1061",2753,1,1,1
"1062",2754,1,1,1
"1063",2755,1,1,3
"1064",2756,1,1,3
"1065",2757,1,1,3
"1066",2758,1,1,3
"1067",2759,1,1,3
"1068",2760,1,1,3
"1069",2761,1,1,3
"1070",2762,1,1,19
"1071",2763,1,1,19
"1072",2764,1,1,19
"1073",2765,1,1,19
"1074",2766,1,1,19
"1075",2767,1,1,1
"1076",2768,1,1,1
"1077",2769,1,1,1
"1078",2770,1,1,1
"1079",2771,1,1,1
"1080",2772,1,1,1
"1081",2773,1,1,1
"1082",2774,1,1,1
"1083",2775,1,1,1
"1084",2776,1,1,1
"1085",2777,1,1,1
"1086",2778,1,1,1
"1087",2779,1,1,1
"1088",2780,1,1,1
"1089",2781,1,1,1
"1090",2782,1,1,1
"1091",2783,1,1,1
"1092",2784,1,1,1
"1093",2785,1,1,1
"1094",2786,1,1,1
"1095",2787,1,1,1
"1096",2788,1,1,1
"1097",2789,1,1,1
"1098",2790,1,1,1
"1099",2791,1,1,1
"1100",2792,1,1,1
"1101",2793,1,1,1
"1102",2794,1,1,1
"1103",2795,1,1,1
"1104",2796,1,1,1
"1105",2797,1,1,1
"1106",2798,1,1,1
"1107",2799,1,1,1
"1108",2800,1,1,1
"1109",2801,1,1,1
"1110",2802,1,1,1
"1111",2803,1,1,1
"1112",2804,1,1,1
